keep_id,keep_name,drop_id,drop_name,city,state,score,keep_source,drop_source
110402,Perry Valley Presbyterian Church,113326,Perry Valley Presbyterian Church,millerstown,PA,100.0,osm,osm
115150,Viznitz וויזניץ,115157,Viznitz וויזניץ,monsey,NY,100.0,osm,osm
67097,Pleasant Ridge Baptist Church,71392,Pleasant View Baptist Church,morganton,NC,91.22807017543859,osm,osm
76133,Saint Paul Catholic Church,75873,Saint Pauls Catholic Church,new bern,,98.11320754716981,osm,osm
6455,Life Challenge,6456,Life Challenge,odessa,TX,100.0,osm,osm
96274,Apostolic Life Center,96580,Apostolic Life Center,omaha,NE,100.0,osm,osm
96186,Omaha Chin Christian Church,96246,Omaha Chinese Christian Church,omaha,NE,94.73684210526316,osm,osm
124573,Oneida United Church,124694,Oneida Zion United Church,oneida,,88.88888888888889,osm,osm
4243,Crosspointe Baptist Church,4510,Crosspointe Baptist Church,pinellas park,FL,100.0,osm,osm
73316,Pinnacle United Methodist Church,74484,Pinnacle United Methodist Church,pinnacle,NC,100.0,osm,osm
112464,Christ Community Church office,113597,Christ Community Church service,piscataway,NJ,88.52459016393442,osm,osm
74374,Camp Springs United Methodist,74373,Camp Springs United Methodist Church,reidsville,NC,89.23076923076923,osm,osm
46430,The Church of Jesus Christ of Latter-day Saints,46825,The Church of Jesus Christ of Latter-day Saints,ridgecrest,CA,100.0,osm,osm
77119,Saint Joseph Catholic Church,77079,Saint Rose Catholic Church,sacramento,CA,92.5925925925926,osm,osm
77013,Saint Mary Catholic Church,77225,Saint Paul Catholic Church,sacramento,CA,88.46153846153845,osm,osm
77013,Saint Mary Catholic Church,77079,Saint Rose Catholic Church,sacramento,CA,88.46153846153845,osm,osm
2102,House of Prayer,7044,House of Prayer,san antonio,TX,100.0,osm,osm
93032,The Church of Jesus Christ of Latter-day Saints,93065,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
93032,The Church of Jesus Christ of Latter-day Saints,93066,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
93032,The Church of Jesus Christ of Latter-day Saints,93067,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
93065,The Church of Jesus Christ of Latter-day Saints,93066,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
93065,The Church of Jesus Christ of Latter-day Saints,93067,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
93066,The Church of Jesus Christ of Latter-day Saints,93067,The Church of Jesus Christ of Latter-day Saints,saratoga springs,UT,100.0,osm,osm
75369,Trinity Episcopal Church,76167,Trinity Episcopal Church,scotland neck,NC,100.0,osm,osm
25625,The Church of Jesus Christ of Latter-day Saints,25626,The Church of Jesus Christ of Latter-day Saints,simi valley,CA,100.0,osm,osm
124611,Springfield Baptist Church,124689,Springfield Baptist Church,springfield,,100.0,osm,osm
98811,Calvary Church,98816,Calvary Church,springfield,IL,100.0,osm,osm
95711,Faith Baptist Church,95710,First Baptist Church,tecumseh,NE,90.0,osm,osm
118019,The Church of Jesus Christ of Latter-day Saints,118024,The Church of Jesus Christ of Latter-day Saints,twin falls,ID,100.0,osm,osm
118019,The Church of Jesus Christ of Latter-day Saints,118025,The Church of Jesus Christ of Latter-day Saints,twin falls,ID,100.0,osm,osm
118024,The Church of Jesus Christ of Latter-day Saints,118025,The Church of Jesus Christ of Latter-day Saints,twin falls,ID,100.0,osm,osm
